,snake name,Average Venom Qty,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants,Preferred LD50 Estimate,class
488,Hydrophis inornatus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
489,Hydrophis klossi,"1.00 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
490,Hydrophis lapemoides,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
491,Hydrophis mamillaris,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
492,Hydrophis melanosoma,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
493,Hydrophis obscurus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
494,Hydrophis ornatus,"8.3 mg ( dry weight ), Tamiya and Puffer (1974) ( Ref : R000012 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
495,Hydrophis parviceps,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
496,Hydrophis semperi,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
497,Hydrophis spiralis,"2.10 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
498,Hydrophis stricticollis,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
499,Hydrophis torquatus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
500,Hydrophis jerdonii,"2.80 mg, Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
501,Kolpophis annandalei,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
502,Lapemis curtus,"3.80 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
503,Lapemis hardwickii,"1.9 mg ( dry weight ), Reid (1975) ( Ref : R000525 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
504,Pelamis platurus,"0.25 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
505,Hydrophis viperina,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
506,Thalassophis anomalus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
507,Laticauda colubrina,"10.6 mg ( dry weight ), Singh and Guinea (1984) ( Ref : R000527 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
508,Laticauda crockeri,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
509,Laticauda laticaudata,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
510,Laticauda semifasciata,"14 mg ( dry weight ), Brown (1973) ( Ref : R000681 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
511,Laticauda schistorhynchus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
512,Hydrophis atriceps,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
513,Hydrophis melanocephalus,"0.13 mg ( dry weight ), Minton (1983) ( Ref : R000010 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
514,Hydrophis czeblukovi,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
515,Hydrophis macdowelli,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
516,Hydrophis pacificus,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
517,Hydrophis vorisi,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
518,Hydrophis coggeri,"0.48 mg, Heatwole (1999) ( Ref : R000523 ).",Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,1
519,Boiga irregularis,"6.7 mg ( n= 19, dry weight ), Weinstein et al (1991) ( Ref : R000660 ).",Not present,Not present,Not present,Not present,Not present,Not present,Possibly present,Not present,Not present,,1
520,Ovophis zayuensis,,Possibly present,Probably not present,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Mixture of procoagulants,,Not
521,Homoroselaps dorsalis,,,,,,,,,,,,Not
522,Pseudohaje nigra,,,,,,,,,,,,Not
523,Toxicocalamus buergersi,,,,,,,,,,,,Not
524,Toxicocalamus holopelturus,,,,,,,,,,,,Not
525,Toxicocalamus longissimus,,,,,,,,,,,,Not
526,Toxicocalamus loriae,,,,,,,,,,,,Not
527,Toxicocalamus misimae,,,,,,,,,,,,Not
528,Toxicocalamus preussi,,,,,,,,,,,,Not
529,Toxicocalamus spilolepidotus,,,,,,,,,,,,Not
530,Toxicocalamus stanleyanus,,,,,,,,,,,,Not
531,Toxicocalamus grandis,,,,,,,,,,,,Not
532,Aspidomorphus lineaticollis,,,,,,,,,,,,Not
533,Aspidomorphus muelleri,,,,,,,,,,,,Not
534,Aspidomorphus schlegeli,,,,,,,,,,,,Not
535,Parapistocalamus hedigeri,,,,,,,,,,,,Not
536,Loveridgelaps elapoides,,,,,,,,,,,,Not
537,Cacophis harriettae,,,,,,,,,,,,Not
538,Cacophis krefftii,,,,,,,,,,,,Not
539,Cacophis squamulosus,,,,,,,,,,,,Not
540,Elapognathus minor,,,,,,,,,,,,Not
541,Furina barnardi,,,,,,,,Possibly present,,Possibly present,,Not
542,Furina diadema,,,,,,,,Possibly present,,Possibly present,,Not
543,Furina dunmalli,,,,,,,,Possibly present,,Possibly present,,Not
544,Furina ornata,,,,,,,,Possibly present,,Possibly present,,Not
545,Furina tristis,,,,,,,,Possibly present,,Possibly present,,Not
546,Rhinoplocephalus bicolor,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,Not
547,Cryptophis boschmai,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,Not
548,Cryptophis incredibilis,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,Not
549,Cryptophis nigrostriatus,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,Not
550,Cryptophis pallidiceps,,Not present,Not present,Not present,Systemic myotoxins present,Not present,Not present,Not present,Not present or not significant,Not present,,Not
551,Simoselaps anomalus,,,,,,,,,,,,Not
552,Brachyurophis approximans,,,,,,,,,,,,Not
553,Brachyurophis australis,,,,,,,,,,,,Not
554,Simoselaps bertholdi,,,,,,,,,,,,Not
555,Neelaps bimaculatus,,,,,,,,,,,,Not
556,Neelaps calonotus,,,,,,,,,,,,Not
557,Brachyurophis fasciolatus,,,,,,,,,,,,Not
558,Brachyurophis incinctus,,,,,,,,,,,,Not
559,Simoselaps littoralis,,,,,,,,,,,,Not
560,Simoselaps minimus,,,,,,,,,,,,Not
561,Brachyurophis semifasciatus,,,,,,,,,,,,Not
562,Antairoserpens warro,,,,,,,,,,,,Not
563,Suta fasciata,,,,,,,,,,,,Not
564,Parasuta flagellum,,,,,,,,,,,,Not
565,Parasuta gouldii,,,,,,,,,,,,Not
566,Parasuta monachus,,,,,,,,,,,,Not
567,Parasuta nigriceps,,,,,,,,,,,,Not
568,Suta ordensis,,,,,,,,,,,,Not
569,Suta punctata,,,,,,,,,,,,Not
570,Parasuta spectabilis,,,,,,,,,,,,Not
571,Vermicella annulata,,,,,,,,,,,,Not
572,Vermicella multifasciata,,,,,,,,,,,,Not
573,Enhydrina zweifeli,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
574,Hydrophis lamberti,,Not present,Secondary cardiotoxicity only,Not present,"Probably present, but not confirmed.",Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
575,Vermicella snelli,,,,,,,,,,,,Not
576,Vermicella intermedia,,,,,,,,,,,,Not
577,Vermicella vermiformis,,,,,,,,,,,,Not
578,Demansia reticulata,,,,,,,,,,,,Not
579,Cacophis churchilli,,,,,,,,,,,,Not
580,Brachyurophis morrisi,,,,,,,,,,,,Not
581,Micrurus albicinctus,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
582,Micrurus catamayensis,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
583,Micrurus nebularis,,Probably not present,Probably not present,Probably not present,Systemic myotoxins present,Probably not present,Probably not present,Postsynaptic neurotoxins,,Probably not present,,Not
584,Salomonelaps par,,,,,,,,,,,,Not
585,Ogmodon vitianus,,,,,,,,,,,,Not
586,Atheris rungweensis,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
587,Atheris acuminata,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
588,Atheris broadleyi,,Probably not present,,Possibly present,Probably not present,Probably not present,Probably not present,Probably not present,,Present but not defined,,Not
589,Naja mandalayensis,,Probably not present,Possibly present,Probably not present,Probably not present,Present but not defined,Probably not present,Postsynaptic neurotoxins,Not present or not significant,Probably not present,,Not
590,Acanthophis wellsei,,Possibly present but not clinically significant,Not present,Not present,Not present,Not present,Not present,Pre- & Post-synaptic neurotoxins,Not present or not significant,Not present,,Not
591,Bitis armata,,,,,,,,,,,,Not
592,Hydrophis sibauensis,,Not present,Secondary cardiotoxicity only,Not present,Systemic myotoxins present,Not present,Secondary nephrotoxicity only,Postsynaptic neurotoxins,Not present or not significant,Not present,,Not
